Абсолютный путь                                                                 ,Относительный путь                                ,Класс                         
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0001.txt          ,..\Lab1\dataset\1\0001.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0002.txt          ,..\Lab1\dataset\1\0002.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0003.txt          ,..\Lab1\dataset\1\0003.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0004.txt          ,..\Lab1\dataset\1\0004.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0005.txt          ,..\Lab1\dataset\1\0005.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0006.txt          ,..\Lab1\dataset\1\0006.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0007.txt          ,..\Lab1\dataset\1\0007.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0008.txt          ,..\Lab1\dataset\1\0008.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0009.txt          ,..\Lab1\dataset\1\0009.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0010.txt          ,..\Lab1\dataset\1\0010.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0011.txt          ,..\Lab1\dataset\1\0011.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0012.txt          ,..\Lab1\dataset\1\0012.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0013.txt          ,..\Lab1\dataset\1\0013.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0014.txt          ,..\Lab1\dataset\1\0014.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0015.txt          ,..\Lab1\dataset\1\0015.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0016.txt          ,..\Lab1\dataset\1\0016.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0017.txt          ,..\Lab1\dataset\1\0017.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0018.txt          ,..\Lab1\dataset\1\0018.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0019.txt          ,..\Lab1\dataset\1\0019.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0020.txt          ,..\Lab1\dataset\1\0020.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0021.txt          ,..\Lab1\dataset\1\0021.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0022.txt          ,..\Lab1\dataset\1\0022.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0023.txt          ,..\Lab1\dataset\1\0023.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0024.txt          ,..\Lab1\dataset\1\0024.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0025.txt          ,..\Lab1\dataset\1\0025.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0026.txt          ,..\Lab1\dataset\1\0026.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0027.txt          ,..\Lab1\dataset\1\0027.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0028.txt          ,..\Lab1\dataset\1\0028.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0029.txt          ,..\Lab1\dataset\1\0029.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0030.txt          ,..\Lab1\dataset\1\0030.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0031.txt          ,..\Lab1\dataset\1\0031.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0032.txt          ,..\Lab1\dataset\1\0032.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0033.txt          ,..\Lab1\dataset\1\0033.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0034.txt          ,..\Lab1\dataset\1\0034.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0035.txt          ,..\Lab1\dataset\1\0035.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0036.txt          ,..\Lab1\dataset\1\0036.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0037.txt          ,..\Lab1\dataset\1\0037.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0038.txt          ,..\Lab1\dataset\1\0038.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0039.txt          ,..\Lab1\dataset\1\0039.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0040.txt          ,..\Lab1\dataset\1\0040.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0041.txt          ,..\Lab1\dataset\1\0041.txt                        ,1                             
C:\Users\79297\Desktop\Application Programming\Lab1\dataset\1\0042.txt          ,..\Lab1\dataset\1\0042.txt                        ,1                             
