Absolute Path                                                                                       ,Relative Path                                     ,Class                         
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0001.txt                     ,datasets\dataset_copy\1_0001.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0002.txt                     ,datasets\dataset_copy\1_0002.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0003.txt                     ,datasets\dataset_copy\1_0003.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0004.txt                     ,datasets\dataset_copy\1_0004.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0005.txt                     ,datasets\dataset_copy\1_0005.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0006.txt                     ,datasets\dataset_copy\1_0006.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0007.txt                     ,datasets\dataset_copy\1_0007.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0008.txt                     ,datasets\dataset_copy\1_0008.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0009.txt                     ,datasets\dataset_copy\1_0009.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0010.txt                     ,datasets\dataset_copy\1_0010.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0011.txt                     ,datasets\dataset_copy\1_0011.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0012.txt                     ,datasets\dataset_copy\1_0012.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0013.txt                     ,datasets\dataset_copy\1_0013.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0014.txt                     ,datasets\dataset_copy\1_0014.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0015.txt                     ,datasets\dataset_copy\1_0015.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0016.txt                     ,datasets\dataset_copy\1_0016.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0017.txt                     ,datasets\dataset_copy\1_0017.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0018.txt                     ,datasets\dataset_copy\1_0018.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0019.txt                     ,datasets\dataset_copy\1_0019.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0020.txt                     ,datasets\dataset_copy\1_0020.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0021.txt                     ,datasets\dataset_copy\1_0021.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0022.txt                     ,datasets\dataset_copy\1_0022.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0023.txt                     ,datasets\dataset_copy\1_0023.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0024.txt                     ,datasets\dataset_copy\1_0024.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0025.txt                     ,datasets\dataset_copy\1_0025.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0026.txt                     ,datasets\dataset_copy\1_0026.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0027.txt                     ,datasets\dataset_copy\1_0027.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0028.txt                     ,datasets\dataset_copy\1_0028.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0029.txt                     ,datasets\dataset_copy\1_0029.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0030.txt                     ,datasets\dataset_copy\1_0030.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0031.txt                     ,datasets\dataset_copy\1_0031.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0032.txt                     ,datasets\dataset_copy\1_0032.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0033.txt                     ,datasets\dataset_copy\1_0033.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0034.txt                     ,datasets\dataset_copy\1_0034.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0035.txt                     ,datasets\dataset_copy\1_0035.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0036.txt                     ,datasets\dataset_copy\1_0036.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0037.txt                     ,datasets\dataset_copy\1_0037.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0038.txt                     ,datasets\dataset_copy\1_0038.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0039.txt                     ,datasets\dataset_copy\1_0039.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0040.txt                     ,datasets\dataset_copy\1_0040.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0041.txt                     ,datasets\dataset_copy\1_0041.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0042.txt                     ,datasets\dataset_copy\1_0042.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0043.txt                     ,datasets\dataset_copy\1_0043.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0044.txt                     ,datasets\dataset_copy\1_0044.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0045.txt                     ,datasets\dataset_copy\1_0045.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0046.txt                     ,datasets\dataset_copy\1_0046.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0047.txt                     ,datasets\dataset_copy\1_0047.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0048.txt                     ,datasets\dataset_copy\1_0048.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0049.txt                     ,datasets\dataset_copy\1_0049.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0050.txt                     ,datasets\dataset_copy\1_0050.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0051.txt                     ,datasets\dataset_copy\1_0051.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0052.txt                     ,datasets\dataset_copy\1_0052.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0053.txt                     ,datasets\dataset_copy\1_0053.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0054.txt                     ,datasets\dataset_copy\1_0054.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0055.txt                     ,datasets\dataset_copy\1_0055.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0056.txt                     ,datasets\dataset_copy\1_0056.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0057.txt                     ,datasets\dataset_copy\1_0057.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0058.txt                     ,datasets\dataset_copy\1_0058.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0059.txt                     ,datasets\dataset_copy\1_0059.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0060.txt                     ,datasets\dataset_copy\1_0060.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0061.txt                     ,datasets\dataset_copy\1_0061.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0062.txt                     ,datasets\dataset_copy\1_0062.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0063.txt                     ,datasets\dataset_copy\1_0063.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0064.txt                     ,datasets\dataset_copy\1_0064.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0065.txt                     ,datasets\dataset_copy\1_0065.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0066.txt                     ,datasets\dataset_copy\1_0066.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0067.txt                     ,datasets\dataset_copy\1_0067.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0068.txt                     ,datasets\dataset_copy\1_0068.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0069.txt                     ,datasets\dataset_copy\1_0069.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0070.txt                     ,datasets\dataset_copy\1_0070.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0071.txt                     ,datasets\dataset_copy\1_0071.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0072.txt                     ,datasets\dataset_copy\1_0072.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0073.txt                     ,datasets\dataset_copy\1_0073.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0074.txt                     ,datasets\dataset_copy\1_0074.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0075.txt                     ,datasets\dataset_copy\1_0075.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0076.txt                     ,datasets\dataset_copy\1_0076.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0077.txt                     ,datasets\dataset_copy\1_0077.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0078.txt                     ,datasets\dataset_copy\1_0078.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0079.txt                     ,datasets\dataset_copy\1_0079.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0080.txt                     ,datasets\dataset_copy\1_0080.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0081.txt                     ,datasets\dataset_copy\1_0081.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0082.txt                     ,datasets\dataset_copy\1_0082.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0083.txt                     ,datasets\dataset_copy\1_0083.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0084.txt                     ,datasets\dataset_copy\1_0084.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0085.txt                     ,datasets\dataset_copy\1_0085.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0086.txt                     ,datasets\dataset_copy\1_0086.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0087.txt                     ,datasets\dataset_copy\1_0087.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0088.txt                     ,datasets\dataset_copy\1_0088.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0089.txt                     ,datasets\dataset_copy\1_0089.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0090.txt                     ,datasets\dataset_copy\1_0090.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0091.txt                     ,datasets\dataset_copy\1_0091.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0092.txt                     ,datasets\dataset_copy\1_0092.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0093.txt                     ,datasets\dataset_copy\1_0093.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0094.txt                     ,datasets\dataset_copy\1_0094.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0095.txt                     ,datasets\dataset_copy\1_0095.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0096.txt                     ,datasets\dataset_copy\1_0096.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0097.txt                     ,datasets\dataset_copy\1_0097.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0098.txt                     ,datasets\dataset_copy\1_0098.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0099.txt                     ,datasets\dataset_copy\1_0099.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0100.txt                     ,datasets\dataset_copy\1_0100.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0101.txt                     ,datasets\dataset_copy\1_0101.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0102.txt                     ,datasets\dataset_copy\1_0102.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0103.txt                     ,datasets\dataset_copy\1_0103.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0104.txt                     ,datasets\dataset_copy\1_0104.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0105.txt                     ,datasets\dataset_copy\1_0105.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0106.txt                     ,datasets\dataset_copy\1_0106.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0107.txt                     ,datasets\dataset_copy\1_0107.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0108.txt                     ,datasets\dataset_copy\1_0108.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0109.txt                     ,datasets\dataset_copy\1_0109.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0110.txt                     ,datasets\dataset_copy\1_0110.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0111.txt                     ,datasets\dataset_copy\1_0111.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0112.txt                     ,datasets\dataset_copy\1_0112.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0113.txt                     ,datasets\dataset_copy\1_0113.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0114.txt                     ,datasets\dataset_copy\1_0114.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0115.txt                     ,datasets\dataset_copy\1_0115.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0116.txt                     ,datasets\dataset_copy\1_0116.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0117.txt                     ,datasets\dataset_copy\1_0117.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0118.txt                     ,datasets\dataset_copy\1_0118.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0119.txt                     ,datasets\dataset_copy\1_0119.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0120.txt                     ,datasets\dataset_copy\1_0120.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0121.txt                     ,datasets\dataset_copy\1_0121.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0122.txt                     ,datasets\dataset_copy\1_0122.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0123.txt                     ,datasets\dataset_copy\1_0123.txt                  ,1                             
C:\Users\79297\Desktop\Application Programming\datasets\dataset_copy\1_0124.txt                     ,datasets\dataset_copy\1_0124.txt                  ,1                             
